Name,Date,Active cases
XiZang,2020/2/13,0 
XiZang,2020/2/12,0 
XiZang,2020/2/11,1 
XiZang,2020/2/10,1 
XiZang,2020/2/9,1 
XiZang,2020/2/8,1 
XiZang,2020/2/7,1 
XiZang,2020/2/6,1 
XiZang,2020/2/5,1 
XiZang,2020/2/4,1 
XiZang,2020/2/3,1 
XiZang,2020/2/2,1 
XiZang,2020/2/1,1 
XiZang,2020/1/31,1 
XiZang,2020/1/30,1 
YunNan,2020/6/1,0 
YunNan,2020/5/31,0 
YunNan,2020/5/30,0 
YunNan,2020/5/29,0 
YunNan,2020/5/28,0 
YunNan,2020/5/27,0 
YunNan,2020/5/26,0 
YunNan,2020/5/25,0 
YunNan,2020/5/24,0 
YunNan,2020/5/23,0 
YunNan,2020/5/22,0 
YunNan,2020/5/21,0 
YunNan,2020/5/20,0 
YunNan,2020/5/19,0 
YunNan,2020/5/18,0 
YunNan,2020/5/17,0 
YunNan,2020/5/16,0 
YunNan,2020/5/15,0 
YunNan,2020/5/14,0 
YunNan,2020/5/13,0 
YunNan,2020/5/12,0 
YunNan,2020/5/11,0 
YunNan,2020/5/10,0 
YunNan,2020/5/9,0 
YunNan,2020/5/8,1 
YunNan,2020/5/7,1 
YunNan,2020/5/6,2 
YunNan,2020/5/5,2 
YunNan,2020/5/4,2 
YunNan,2020/5/3,2 
YunNan,2020/5/2,2 
YunNan,2020/5/1,2 
YunNan,2020/4/30,2 
YunNan,2020/4/29,2 
YunNan,2020/4/28,2 
YunNan,2020/4/27,2 
YunNan,2020/4/26,2 
YunNan,2020/4/25,2 
YunNan,2020/4/24,3 
YunNan,2020/4/23,2 
YunNan,2020/4/22,4 
YunNan,2020/4/21,4 
YunNan,2020/4/20,4 
YunNan,2020/4/19,4 
YunNan,2020/4/18,5 
YunNan,2020/4/17,5 
YunNan,2020/4/16,6 
YunNan,2020/4/15,6 
YunNan,2020/4/14,7 
YunNan,2020/4/13,8 
YunNan,2020/4/12,8 
YunNan,2020/4/11,8 
YunNan,2020/4/10,9 
YunNan,2020/4/9,9 
YunNan,2020/4/8,9 
YunNan,2020/4/7,9 
YunNan,2020/4/6,10 
YunNan,2020/4/5,10 
YunNan,2020/4/4,10 
YunNan,2020/4/3,10 
YunNan,2020/4/2,9 
YunNan,2020/4/1,8 
YunNan,2020/3/31,8 
YunNan,2020/3/30,6 
YunNan,2020/3/29,6 
YunNan,2020/3/28,6 
YunNan,2020/3/27,6 
YunNan,2020/3/26,4 
YunNan,2020/3/25,2 
YunNan,2020/3/24,2 
YunNan,2020/3/23,2 
YunNan,2020/3/22,2 
YunNan,2020/3/21,2 
YunNan,2020/3/20,2 
YunNan,2020/3/19,2 
YunNan,2020/3/18,2 
YunNan,2020/3/17,2 
YunNan,2020/3/16,2 
YunNan,2020/3/15,0 
YunNan,2020/3/14,0 
YunNan,2020/3/13,2 
YunNan,2020/3/12,2 
YunNan,2020/3/11,2 
YunNan,2020/3/10,2 
YunNan,2020/3/9,2 
YunNan,2020/3/8,2 
YunNan,2020/3/7,2 
YunNan,2020/3/6,2 
YunNan,2020/3/5,3 
YunNan,2020/3/4,3 
YunNan,2020/3/3,3 
YunNan,2020/3/2,4 
YunNan,2020/3/1,9 
YunNan,2020/2/29,15 
YunNan,2020/2/28,16 
YunNan,2020/2/27,22 
YunNan,2020/2/26,28 
YunNan,2020/2/25,43 
YunNan,2020/2/24,48 
YunNan,2020/2/23,57 
YunNan,2020/2/22,65 
YunNan,2020/2/21,76 
YunNan,2020/2/20,93 
YunNan,2020/2/19,111 
YunNan,2020/2/18,115 
YunNan,2020/2/17,124 
YunNan,2020/2/16,129 
YunNan,2020/2/15,126 
YunNan,2020/2/14,126 
YunNan,2020/2/13,129 
YunNan,2020/2/12,128 
YunNan,2020/2/11,133 
YunNan,2020/2/10,130 
YunNan,2020/2/9,123 
YunNan,2020/2/8,121 
